setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness,algorithm,fitness_mean,fitness_std,fitness,energy_mean,energy_std,energy,delay_mean,delay_std,delay,aoi_mean,aoi_std,aoi,qoe_mean,qoe_std,qoe,fairness_mean,fairness_std,fairness,csr_mean,csr_std,csr,runtime_mean,runtime_std,runtime
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,RDHO,0.9969558588513258,0.11680795593500606,0.996956 +/- 0.116808,86.09413156338854,14.725663409291318,86.094132 +/- 14.725663,1.7039430131671733,0.18491167036733647,1.703943 +/- 0.184912,2.0228317242166596,0.1902837966606423,2.022832 +/- 0.190284,0.32411913140995646,0.0155780242967493,0.324119 +/- 0.015578,0.8985435000650799,0.019722124396529046,0.898544 +/- 0.019722,0.6922222222222222,0.05789793724005973,0.692222 +/- 0.057898,7.847306110011414,0.21340532040096513,7.847306 +/- 0.213405
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,RIME,1.4604579319193176,0.1699660663308076,1.460458 +/- 0.169966,98.30719522538216,18.277762004416598,98.307195 +/- 18.277762,3.257243503270797,0.741827841536759,3.257244 +/- 0.741828,3.5761322143202823,0.7572471648118833,3.576132 +/- 0.757247,0.2781388499668878,0.017194570151796276,0.278139 +/- 0.017195,0.8181917414163625,0.031008724452381,0.818192 +/- 0.031009,0.55,0.06517732958005983,0.550000 +/- 0.065177,7.973156843303392,0.1771352004873433,7.973157 +/- 0.177135
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,DBO,1.0696600084981158,0.116733845747585,1.069660 +/- 0.116734,71.74411319510885,13.463015881808522,71.744113 +/- 13.463016,1.9947258245660493,0.2635422087411094,1.994726 +/- 0.263542,2.3136145356155358,0.2747008207239289,2.313615 +/- 0.274701,0.31409471337642103,0.015821519292494857,0.314095 +/- 0.015822,0.8945758743694058,0.02058574190575043,0.894576 +/- 0.020586,0.6613888888888887,0.052817337462748866,0.661389 +/- 0.052817,7.854658110036204,0.21878910703878837,7.854658 +/- 0.218789
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,TLBO-HHO,1.1001235223679118,0.12163862207304212,1.100124 +/- 0.121639,68.32339254464256,14.483620082678165,68.323393 +/- 14.483620,1.9832298021811556,0.25964598014368995,1.983230 +/- 0.259646,2.3021185132306416,0.2624772977245503,2.302119 +/- 0.262477,0.3131297834115765,0.015764274377444935,0.313130 +/- 0.015764,0.8963502998811749,0.0200903415910793,0.896350 +/- 0.020090,0.6288888888888889,0.05680398057751614,0.628889 +/- 0.056804,7.8393096533293525,0.15788150402033915,7.839310 +/- 0.157882
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,CWTSSA,1.0684963243693508,0.11915809852170724,1.068496 +/- 0.119158,70.5339831371273,12.413784028574785,70.533983 +/- 12.413784,1.9507876057197193,0.21546729909208168,1.950788 +/- 0.215467,2.2696763167692056,0.22304001235323323,2.269676 +/- 0.223040,0.31616317237343133,0.014950870790486822,0.316163 +/- 0.014951,0.8970883395036218,0.019734624720645858,0.897088 +/- 0.019735,0.6541666666666666,0.05992292303435175,0.654167 +/- 0.059923,7.885570463305339,0.19239352002030635,7.885570 +/- 0.192394
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,GA,1.093163110230726,0.12677431637505057,1.093163 +/- 0.126774,83.93107661206095,14.79886055531155,83.931077 +/- 14.798861,1.9493182464427001,0.24924530828869162,1.949318 +/- 0.249245,2.2682069574921866,0.25159122873288925,2.268207 +/- 0.251591,0.3105179419993252,0.01701111180745043,0.310518 +/- 0.017011,0.8820827840871743,0.023200510062700738,0.882083 +/- 0.023201,0.6538888888888887,0.059962206061910224,0.653889 +/- 0.059962,8.010312359966338,0.1777898145403962,8.010312 +/- 0.177790
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,PSO,1.4668568117499576,0.1605478330925975,1.466857 +/- 0.160548,102.73597032434351,23.648077213182678,102.735970 +/- 23.648077,3.367095498048971,0.7955874062318018,3.367095 +/- 0.795587,3.6859842090984576,0.8095675353131667,3.685984 +/- 0.809568,0.28157747230164265,0.018562306948277478,0.281577 +/- 0.018562,0.8308885306857985,0.03386976643132633,0.830889 +/- 0.033870,0.5425000000000001,0.0593043161642457,0.542500 +/- 0.059304,7.8935641866798205,0.17669622521423373,7.893564 +/- 0.176696
S1,Original setting,"(0.150, 0.150, 0.200, 0.250, 0.250)",0.15,0.15,0.2,0.25,0.25,DE,1.0328377168065133,0.11764028979402913,1.032838 +/- 0.117640,84.50405650718848,17.212542276002374,84.504057 +/- 17.212542,1.8058962010345274,0.20495330922823923,1.805896 +/- 0.204953,2.124784912084013,0.21492702006434639,2.124785 +/- 0.214927,0.3196348509605065,0.014450426465325272,0.319635 +/- 0.014450,0.8999473136969852,0.020237692587608595,0.899947 +/- 0.020238,0.6741666666666666,0.06050355424789814,0.674167 +/- 0.060504,8.100522116664797,0.20813036171898236,8.100522 +/- 0.208130
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,RDHO,1.0479090429744853,0.12348033706859746,1.047909 +/- 0.123480,82.80154457646854,13.916106934725855,82.801545 +/- 13.916107,1.735200389220495,0.1848657331869923,1.735200 +/- 0.184866,2.0540891002699815,0.19128416717315494,2.054089 +/- 0.191284,0.3236175304860101,0.016087150863576986,0.323618 +/- 0.016087,0.8979650538770255,0.019942584481059768,0.897965 +/- 0.019943,0.6930555555555558,0.05761392733744102,0.693056 +/- 0.057614,7.7275692100171,0.12176907552259539,7.727569 +/- 0.121769
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,RIME,1.59129257900173,0.20963828386143224,1.591293 +/- 0.209638,98.58399087817378,19.204523877756227,98.583991 +/- 19.204524,3.47510661183546,0.916727542130165,3.475107 +/- 0.916728,3.7939953228849475,0.9353148480800691,3.793995 +/- 0.935315,0.2744889209815463,0.02280932865260221,0.274489 +/- 0.022809,0.8098729573135244,0.040522762136525496,0.809873 +/- 0.040523,0.5383333333333333,0.07794658746913999,0.538333 +/- 0.077947,7.83375611002557,0.10861686485012277,7.833756 +/- 0.108617
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,DBO,1.1108082716926264,0.12484190505143146,1.110808 +/- 0.124842,70.75296206551347,13.34294053970821,70.752962 +/- 13.342941,1.959346486298298,0.23098643274668407,1.959346 +/- 0.230986,2.278235197347785,0.23870514344238522,2.278235 +/- 0.238705,0.31488127989585374,0.014814712010598398,0.314881 +/- 0.014815,0.8946615673022774,0.019722151139071564,0.894662 +/- 0.019722,0.6644444444444445,0.055963064812820366,0.664444 +/- 0.055963,7.747585423337296,0.156365579947565,7.747585 +/- 0.156366
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,TLBO-HHO,1.1488946338010293,0.11753564286687955,1.148895 +/- 0.117536,62.3134452802498,12.990595659203931,62.313445 +/- 12.990596,2.0321950649207188,0.1858415198176807,2.032195 +/- 0.185842,2.3510837759702055,0.1930231623942766,2.351084 +/- 0.193023,0.31322947237174775,0.01502789722685001,0.313229 +/- 0.015028,0.897038611760835,0.019457673279213654,0.897039 +/- 0.019458,0.631388888888889,0.05255371879207138,0.631389 +/- 0.052554,7.7495712300141655,0.11721610807541974,7.749571 +/- 0.117216
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,CWTSSA,1.1287805307134051,0.12761722817827875,1.128781 +/- 0.127617,69.7188802744237,15.453914221587997,69.718880 +/- 15.453914,1.9625198892762472,0.21340139650868697,1.962520 +/- 0.213401,2.2814086003257334,0.2210193009415083,2.281409 +/- 0.221019,0.31483193969742324,0.014613105151951399,0.314832 +/- 0.014613,0.8960444645409639,0.01999145570100895,0.896044 +/- 0.019991,0.6475000000000001,0.05786552981032737,0.647500 +/- 0.057866,7.8141011766934145,0.1354478526590296,7.814101 +/- 0.135448
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,GA,1.15816540966208,0.13795244483523827,1.158165 +/- 0.137952,81.72915414546317,13.258282619361617,81.729154 +/- 13.258283,2.0196847229321153,0.3044412439350227,2.019685 +/- 0.304441,2.338573433981601,0.3087429280327833,2.338573 +/- 0.308743,0.3107577749910095,0.016556999842214367,0.310758 +/- 0.016557,0.8775595237629259,0.018776669519459468,0.877560 +/- 0.018777,0.648611111111111,0.0630894932890875,0.648611 +/- 0.063089,7.906056729983538,0.10318231638601456,7.906057 +/- 0.103182
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,PSO,1.5596715678415858,0.17254136919433433,1.559672 +/- 0.172541,102.03059132255144,22.55417281590413,102.030591 +/- 22.554173,3.3787886887005936,0.7796281228296796,3.378789 +/- 0.779628,3.6976773997500794,0.7948636379048118,3.697677 +/- 0.794864,0.28145748828733896,0.018257379507508522,0.281457 +/- 0.018257,0.828397651484828,0.03668917497560556,0.828398 +/- 0.036689,0.5427777777777778,0.05891472721666501,0.542778 +/- 0.058915,7.769336580034966,0.13129864858604112,7.769337 +/- 0.131299
S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2,DE,1.0928715693884272,0.12571516971246502,1.092872 +/- 0.125715,84.4342286546926,16.99999058495877,84.434229 +/- 16.999991,1.7999800842551896,0.19162179646926011,1.799980 +/- 0.191622,2.1188687953046763,0.19846664748072965,2.118869 +/- 0.198467,0.3193260007161067,0.015057817486578647,0.319326 +/- 0.015058,0.8987198276413767,0.019129100540138323,0.898720 +/- 0.019129,0.6652777777777779,0.0631274380559236,0.665278 +/- 0.063127,7.985561133377875,0.22824146246915028,7.985561 +/- 0.228241
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,RDHO,1.0983901700829137,0.13106285159420092,1.098390 +/- 0.131063,80.59994767434402,12.849007269400747,80.599948 +/- 12.849007,1.746800003935383,0.19830373326066683,1.746800 +/- 0.198304,2.065688714984869,0.20571239334993555,2.065689 +/- 0.205712,0.32363562945689833,0.01584940616108401,0.323636 +/- 0.015849,0.8981636197275286,0.020428243843862305,0.898164 +/- 0.020428,0.6922222222222223,0.05773226176524951,0.692222 +/- 0.057732,7.860818430005263,0.13278227875586282,7.860818 +/- 0.132782
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,RIME,1.717869799008424,0.2381427452171863,1.717870 +/- 0.238143,96.3179455703232,21.735277499784505,96.317946 +/- 21.735277,3.5777785826646493,0.940860518067091,3.577779 +/- 0.940861,3.8966672937141364,0.9585577025358526,3.896667 +/- 0.958558,0.2705826996199069,0.023142666904444522,0.270583 +/- 0.023143,0.8035245876676655,0.041913078453366795,0.803525 +/- 0.041913,0.5302777777777777,0.07632869450008199,0.530278 +/- 0.076329,7.984395679986725,0.1547602392080421,7.984396 +/- 0.154760
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,DBO,1.1606074253097887,0.13787959716049933,1.160607 +/- 0.137880,65.99774009747205,12.17044423035441,65.997740 +/- 12.170444,1.9626644591922267,0.21214551696145637,1.962664 +/- 0.212146,2.281553170241713,0.21492685761117733,2.281553 +/- 0.214927,0.3162504863076873,0.015571400380083731,0.316250 +/- 0.015571,0.8984798619635759,0.019786597900952475,0.898480 +/- 0.019787,0.656388888888889,0.05834085884680991,0.656389 +/- 0.058341,7.860527780077731,0.1842784136096575,7.860528 +/- 0.184278
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,TLBO-HHO,1.202101052552485,0.12747516481327864,1.202101 +/- 0.127475,63.92077936400824,13.857925774320876,63.920779 +/- 13.857926,2.0173151253330817,0.22256835100992933,2.017315 +/- 0.222568,2.3362038363825675,0.23164754729988585,2.336204 +/- 0.231648,0.31296342116963854,0.014052417652255185,0.312963 +/- 0.014052,0.8959927876638076,0.021215627195020494,0.895993 +/- 0.021216,0.6294444444444445,0.055004934180157644,0.629444 +/- 0.055005,7.9693888133236515,0.20810811395765974,7.969389 +/- 0.208108
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,CWTSSA,1.1734617455788736,0.1322834914425744,1.173462 +/- 0.132283,69.59644697025608,13.627679605657455,69.596447 +/- 13.627680,1.9373040083264004,0.1959759251434535,1.937304 +/- 0.195976,2.256192719375887,0.20747631223058458,2.256193 +/- 0.207476,0.3152980965182148,0.0141709181504679,0.315298 +/- 0.014171,0.8964762915586441,0.0203915135999809,0.896476 +/- 0.020392,0.6483333333333334,0.06463869521842337,0.648333 +/- 0.064639,7.991777526633814,0.1784586526105933,7.991778 +/- 0.178459
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,GA,1.2166797123255164,0.1307512744222401,1.216680 +/- 0.130751,79.89540909779379,12.791525641055898,79.895409 +/- 12.791526,2.0220959913144583,0.27020688877312776,2.022096 +/- 0.270207,2.340984702363944,0.2814343105382184,2.340985 +/- 0.281434,0.3100706365873609,0.015080274984641137,0.310071 +/- 0.015080,0.8762994554857862,0.022169051540795688,0.876299 +/- 0.022169,0.6447222222222222,0.05800330835678303,0.644722 +/- 0.058003,8.049417353328318,0.13554384725068763,8.049417 +/- 0.135544
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,PSO,1.644352733838668,0.19809969436693908,1.644353 +/- 0.198100,101.47458253809971,22.883677841201198,101.474583 +/- 22.883678,3.332560487593192,0.7705866604981059,3.332560 +/- 0.770587,3.6514491986426774,0.7846657222857004,3.651449 +/- 0.784666,0.28241186975630067,0.01854348337175778,0.282412 +/- 0.018543,0.8305887690814525,0.03560331736134935,0.830589 +/- 0.035603,0.5466666666666666,0.06344968139372742,0.546667 +/- 0.063450,7.890964833367616,0.10684804507763655,7.890965 +/- 0.106848
S3,Energy-delay priority,"(0.250, 0.250, 0.200, 0.150, 0.150)",0.25,0.25,0.2,0.15,0.15,DE,1.1406496928915493,0.13525190084086855,1.140650 +/- 0.135252,80.92236251668413,14.822075935362259,80.922363 +/- 14.822076,1.8146547068803762,0.203466202789489,1.814655 +/- 0.203466,2.133543417929863,0.210859986561459,2.133543 +/- 0.210860,0.3192404965211096,0.01524104694296759,0.319240 +/- 0.015241,0.8980168302808977,0.02075430929390173,0.898017 +/- 0.020754,0.6661111111111112,0.06119551816242187,0.666111 +/- 0.061196,8.112446039992696,0.1398321310001881,8.112446 +/- 0.139832
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,RDHO,0.9090063632959295,0.10152046768314851,0.909006 +/- 0.101520,88.42355987135521,16.447176054296246,88.423560 +/- 16.447176,1.6976934544028561,0.18441446412201626,1.697693 +/- 0.184414,2.0165821654523426,0.18894644506017175,2.016582 +/- 0.188946,0.3238877135067681,0.016351452625020566,0.323888 +/- 0.016351,0.8997205841812193,0.019114238432912864,0.899721 +/- 0.019114,0.6927777777777778,0.05633835476044422,0.692778 +/- 0.056338,7.8736629100361215,0.17113871090874658,7.873663 +/- 0.171139
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,RIME,1.3158477172583223,0.12962262604160088,1.315848 +/- 0.129623,102.23159791370816,20.845387578823917,102.231598 +/- 20.845388,3.3860612162906665,0.8530340701687709,3.386061 +/- 0.853034,3.7049499273401536,0.8702524414312379,3.704950 +/- 0.870252,0.27482918447106824,0.01636210693731265,0.274829 +/- 0.016362,0.8151026909083968,0.03435971837773681,0.815103 +/- 0.034360,0.5536111111111112,0.050933965463169265,0.553611 +/- 0.050934,7.967681243286157,0.15060559819902955,7.967681 +/- 0.150606
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,DBO,0.9609411619604287,0.10305971410148473,0.960941 +/- 0.103060,73.20336053946245,14.27733208096099,73.203361 +/- 14.277332,1.9507804458329498,0.22831116414767152,1.950780 +/- 0.228311,2.2696691568824363,0.23208760655966942,2.269669 +/- 0.232088,0.3159660572714023,0.015542210722531969,0.315966 +/- 0.015542,0.897831297431741,0.020829127667752162,0.897831 +/- 0.020829,0.6661111111111111,0.053468459090353505,0.666111 +/- 0.053468,7.837273933288331,0.1445506907959762,7.837274 +/- 0.144551
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,TLBO-HHO,0.9972586463007711,0.11066379109730971,0.997259 +/- 0.110664,62.00136192299813,13.321143018439717,62.001362 +/- 13.321143,2.0635012476315544,0.2537434078178345,2.063501 +/- 0.253743,2.382389958681041,0.2567053605479415,2.382390 +/- 0.256705,0.3133700596078452,0.015183440412549029,0.313370 +/- 0.015183,0.8983054377385741,0.019603886483721335,0.898305 +/- 0.019604,0.6402777777777777,0.06232574686965888,0.640278 +/- 0.062326,7.867622856656089,0.14153154519615657,7.867623 +/- 0.141532
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,CWTSSA,0.9714315358722511,0.10488839641484725,0.971432 +/- 0.104888,68.74045593772986,17.45058398509544,68.740456 +/- 17.450584,2.005911338136769,0.23373294088705437,2.005911 +/- 0.233733,2.3248000491862553,0.2385285747112667,2.324800 +/- 0.238529,0.31593509982657686,0.015119490951877418,0.315935 +/- 0.015119,0.8996190497294213,0.018150296036972297,0.899619 +/- 0.018150,0.6633333333333334,0.056966751074371,0.663333 +/- 0.056967,7.955383023355777,0.23305996097890014,7.955383 +/- 0.233060
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,GA,0.9950085822657144,0.1027502835735418,0.995009 +/- 0.102750,87.09292635115918,14.415999920900294,87.092926 +/- 14.416000,1.9992903833323712,0.286723125816305,1.999290 +/- 0.286723,2.318179094381858,0.30020422985415385,2.318179 +/- 0.300204,0.31083109943269505,0.016653140071431868,0.310831 +/- 0.016653,0.8784872296394615,0.023634496681802886,0.878487 +/- 0.023634,0.6602777777777776,0.05801156466376499,0.660278 +/- 0.058012,8.089153076708318,0.28731394327227155,8.089153 +/- 0.287314
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,PSO,1.3155002923374726,0.1413447210592818,1.315500 +/- 0.141345,104.78523459242128,22.960851675050268,104.785235 +/- 22.960852,3.4610497866572913,0.8928245683624955,3.461050 +/- 0.892825,3.779938497706777,0.9094551710033443,3.779938 +/- 0.909455,0.2799435125356254,0.018069523219781343,0.279944 +/- 0.018070,0.8268150990160505,0.03908872321428979,0.826815 +/- 0.039089,0.5405555555555555,0.061187691480894875,0.540556 +/- 0.061188,7.91498378662703,0.15139079034414396,7.914984 +/- 0.151391
S4,QoE-fairness priority,"(0.100, 0.100, 0.150, 0.325, 0.325)",0.1,0.1,0.15,0.325,0.325,DE,0.94105854515398,0.10186634284139902,0.941059 +/- 0.101866,83.03112497690003,17.93348621708793,83.031125 +/- 17.933486,1.8520093923756211,0.2008380420215412,1.852009 +/- 0.200838,2.170898103425108,0.20696570368022393,2.170898 +/- 0.206966,0.32012168311474665,0.01461223254746033,0.320122 +/- 0.014612,0.9030844117710329,0.019749031741430792,0.903084 +/- 0.019749,0.6805555555555556,0.05555076607707296,0.680556 +/- 0.055551,8.054131610008577,0.14176498568438864,8.054132 +/- 0.141765
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,RDHO,1.0766239130701567,0.12822648169677017,1.076624 +/- 0.128226,95.71159940272123,18.78243753638458,95.711599 +/- 18.782438,1.635127906340218,0.1847651725167196,1.635128 +/- 0.184765,1.9540166173897044,0.19025104066470758,1.954017 +/- 0.190251,0.32356659324315384,0.015478928701704874,0.323567 +/- 0.015479,0.8985341460535807,0.02005051493392301,0.898534 +/- 0.020051,0.6872222222222221,0.05714023438607898,0.687222 +/- 0.057140,7.813099946671476,0.13310770165390812,7.813100 +/- 0.133108
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,RIME,1.6388760413408294,0.21817609859074796,1.638876 +/- 0.218176,104.80257470770768,21.99113614759009,104.802575 +/- 21.991136,3.298692086672378,0.7812324404904227,3.298692 +/- 0.781232,3.6175807977218652,0.7963868717502915,3.617581 +/- 0.796387,0.2759702158454677,0.02169216636882268,0.275970 +/- 0.021692,0.8137731738219078,0.03749325524513891,0.813773 +/- 0.037493,0.5422222222222222,0.07080994655618596,0.542222 +/- 0.070810,7.947550473331163,0.13767586059647663,7.947550 +/- 0.137676
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,DBO,1.1474323194381821,0.13289015435259002,1.147432 +/- 0.132890,80.99615746451677,15.561328678366285,80.996157 +/- 15.561329,1.8679065423805548,0.24360003044263562,1.867907 +/- 0.243600,2.1867952534300406,0.2544412891804678,2.186795 +/- 0.254441,0.3161688518832593,0.015281358628623294,0.316169 +/- 0.015281,0.8954229273644378,0.02097891223056756,0.895423 +/- 0.020979,0.6575000000000001,0.059505867575072535,0.657500 +/- 0.059506,7.8256080533067385,0.12552633090515689,7.825608 +/- 0.125526
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,TLBO-HHO,1.206356886138669,0.13889375003900614,1.206357 +/- 0.138894,73.46133038546972,20.049137702638447,73.461330 +/- 20.049138,1.9507284506004392,0.29067251006745126,1.950728 +/- 0.290673,2.269617161649926,0.295480361943904,2.269617 +/- 0.295480,0.31300914224386817,0.016192363751284022,0.313009 +/- 0.016192,0.8951733383478715,0.02108288914961214,0.895173 +/- 0.021083,0.62,0.05594879980154816,0.620000 +/- 0.055949,7.837173270015046,0.14319512477578825,7.837173 +/- 0.143195
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,CWTSSA,1.1568153400740506,0.1273329911476343,1.156815 +/- 0.127333,79.36752811927369,13.281151627834275,79.367528 +/- 13.281152,1.8699086747950673,0.1835747112730468,1.869909 +/- 0.183575,2.1887973858445537,0.19506647507497896,2.188797 +/- 0.195066,0.3164227705205232,0.015062389402913497,0.316423 +/- 0.015062,0.8976917437752546,0.020325899409884926,0.897692 +/- 0.020326,0.6511111111111112,0.06427958169779836,0.651111 +/- 0.064280,7.888748633302749,0.10731166190183351,7.888749 +/- 0.107312
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,GA,1.1873225234111506,0.15918694587420892,1.187323 +/- 0.159187,97.10205197983237,15.550181730710365,97.102052 +/- 15.550182,1.8820808629530228,0.3298754980550603,1.882081 +/- 0.329875,2.200969574002509,0.3344636328525791,2.200970 +/- 0.334464,0.3116992094657559,0.01732839490699791,0.311699 +/- 0.017328,0.8775045723325017,0.02639529096197766,0.877505 +/- 0.026395,0.6469444444444444,0.0643075157136934,0.646944 +/- 0.064308,7.9529578299572075,0.08678167602556078,7.952958 +/- 0.086782
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,PSO,1.6407654094042525,0.17769115815088826,1.640765 +/- 0.177691,109.39369819335224,23.305069097603575,109.393698 +/- 23.305069,3.38370538322918,0.8205679924843926,3.383705 +/- 0.820568,3.7025940942786666,0.8355979497975811,3.702594 +/- 0.835598,0.2802479033269699,0.019059363135763233,0.280248 +/- 0.019059,0.8286106210113157,0.03671095646616346,0.828611 +/- 0.036711,0.5338888888888889,0.062741233048079,0.533889 +/- 0.062741,7.913743193276847,0.26293076982434604,7.913743 +/- 0.262931
S5,AoI-freshness priority,"(0.125, 0.125, 0.350, 0.200, 0.200)",0.125,0.125,0.35,0.2,0.2,DE,1.122610665042317,0.12865045752201812,1.122611 +/- 0.128650,93.8749100982926,19.82675225290535,93.874910 +/- 19.826752,1.7214324255975764,0.1865098149917212,1.721432 +/- 0.186510,2.040321136647063,0.19603682722733645,2.040321 +/- 0.196037,0.31951841972418765,0.015443096134453296,0.319518 +/- 0.015443,0.8981826566185008,0.02006492651756279,0.898183 +/- 0.020065,0.6558333333333335,0.06392157251624989,0.655833 +/- 0.063922,8.072052933337789,0.1554948393989634,8.072053 +/- 0.155495
